"","x"
"1","ACEAMP"
"2","ACEDAV"
"3","ACEELE"
"4","ACEPUB"
"5","ACTARG"
"6","ACTCHI"
"7","ACTERI"
"8","ACTHEM"
"9","ACTSP1"
"10","ADIGLI"
"11","AGALAC"
"12","AKETRI"
"13","ARAELA"
"14","AUCHIM"
"15","BERKUL"
"16","BERVIR"
"17","BETLUM"
"18","CALMEM"
"19","CAMCUS"
"20","CARVIM"
"21","CASEYR"
"22","CELACU"
"23","CELSTY"
"24","CEPSIN"
"25","CERCAM"
"26","CERSCH"
"27","CERSER"
"28","CINJEN"
"29","CINSUB"
"30","CLEBAR"
"31","CLEPAC"
"32","CORCON"
"33","CORGLA"
"34","CORHON"
"35","CRYJAP"
"36","CUNLAN"
"37","CYCGLA"
"38","CYCGRA"
"39","CYCMUL"
"40","CYCSTE"
"41","DALMIL"
"42","DAPKIU"
"43","DAPMAC"
"44","DENDEN"
"45","ELADIF"
"46","ELAGLA"
"47","ELAHEN"
"48","ERYSIN"
"49","EUOHAM"
"50","EUOMYR"
"51","EURALA"
"52","EURHEB"
"53","EURMUR"
"54","EURRUB"
"55","FAGLUC"
"56","FICHET"
"57","FOKHOD"
"58","GAMCIL"
"59","HALMAC"
"60","HOVDUL"
"61","HYDCHI"
"62","HYDPAN"
"63","IDEPOL"
"64","ILECRE"
"65","ILEEDI"
"66","ILEFIC"
"67","ILEFIO"
"68","ILEFOR"
"69","ILELAT"
"70","ILELIT"
"71","ILEPED"
"72","ILEROT"
"73","ILESUA"
"74","ILETRI"
"75","ILETSO"
"76","ILEWEN"
"77","ILEWIL"
"78","ILLJIA"
"79","KADLON"
"80","LIGMOL"
"81","LIGSIN"
"82","LINERY"
"83","LINGLA"
"84","LINNEE"
"85","LINOBT"
"86","LIRCHI"
"87","LITBRE"
"88","LITCUB"
"89","LITELO"
"90","LITHAN"
"91","LONACU"
"92","LONHYP"
"93","LONMOD"
"94","LYOOVA"
"95","MACPAU"
"96","MACTHU"
"97","MAGOFF"
"98","MAHBEA"
"99","MELFLE"
"100","MELMYR"
"101","MELOLD"
"102","MICFOK"
"103","MORAUS"
"104","NEOCHE"
"105","NEOUND"
"106","NYSSIN"
"107","OSMFRA"
"108","OSMMAR"
"109","PADBUE"
"110","PADGRA"
"111","PHOBEA"
"112","PHOGLA"
"113","PHOPAR"
"114","PHOVIL"
"115","PHYGLA"
"116","PIEJAP"
"117","PINMAS"
"118","PINTAI"
"119","PITILL"
"120","PTECOR"
"121","PYRCAL"
"122","QUEENG"
"123","RHAIND"
"124","RHAWIL"
"125","RHOCHA"
"126","RHOFOR"
"127","RHOLAT"
"128","RHOOVA"
"129","RHOSIM"
"130","RHOSIS"
"131","RHUHYP"
"132","RHUPOT"
"133","ROSHEN"
"134","SABCAM"
"135","SARCUN"
"136","SASTZU"
"137","SCHINT"
"138","SCHSPH"
"139","SCHSUP"
"140","SKIREE"
"141","SMIARI"
"142","SMIDIS"
"143","SORDUN"
"144","SORFOL"
"145","SORHEM"
"146","STACON"
"147","STESIN"
"148","STRDAV"
"149","STYCAL"
"150","STYJAP"
"151","SYCSIN"
"152","SYMANO"
"153","SYMGLO"
"154","SYMLAN"
"155","SYMLUC"
"156","SYMPAN"
"157","SYMPEN"
"158","SYMSTE"
"159","SYMSUM"
"160","TAXWAL"
"161","TERGYM"
"162","TOXSUC"
"163","TOXSYL"
"164","TOXTRI"
"165","VACBRA"
"166","VACCAR"
"167","VACJAP"
"168","VACMAN"
"169","VIBERO"
"170","VIBHER"
"171","VIBSET"
"172","VIBSYM"
"173","VITCHU"
"174","VITPSE"
"175","VITWIL"
"176","WIKMON"
"177","YULCYL"
