"","allsp","","","","","","","","","abund"
"1","ACEAMP","0.661599777058095","0.464547578446168","0.469441598940089","0.472990147845413","0.482127517763463","0.508047493268632","0.535532967767713","0.559385883208604","13"
"2","ACEDAV","0.991951779789814","1.00596782253522","1.00826894528885","1.0291043718543","1.02899742579491","1.02975708656816","1.03296807097686","1.03227466334025","105"
"3","ACEELE","0.912165418402209","0.926419200285332","0.939191377928402","0.949850575076642","0.957827354357757","0.963157243302655","0.966901398733395","0.970260981398006","490"
"4","ACEPUB","0.762606192115285","0.754155070084243","0.774174890919044","0.785432934686361","0.789685252157563","0.777386380927729","0.78822345764044","0.792898365165176","23"
"5","ACTARG","0.472600254152737","0.4682162097555","0.456401401439714","0.452029913156298","0.46760898474845","0.498571191491257","0.538005492152438","0.561870020850941","20"
"6","ACTCHI","0.787327795165868","0.716109570669762","0.712875715795218","0.722804589857661","0.746702795045177","0.759982679223613","0.778271050269129","0.799617289290782","17"
"7","ACTERI",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"8","ACTHEM","0.843277373121365","0.871662703264803","0.885758656036522","0.901049064303772","0.912069152753268","0.920981917063049","0.931055556543348","0.935712225212091","133"
"9","ACTSP1","0.74519775320166","0.810684964331705","0.775768256868152","0.725614383301455","0.75612883721812","0.762180225043981","0.778105062684544","0.775904980762789","6"
"10","ADIGLI","1.00580503336371","0.991060928422482","0.988433694646568","0.991622325014453","0.99730062674387","0.997314175856515","0.997283888242253","0.998738795436161","1599"
"11","AGALAC","1.12959121771829","1.10345805891856","1.09105411730271","1.07379177362435","1.05735490869755","1.04097659021908","1.04346336622036","1.05000149653544","22"
"12","AKETRI","0.444190195639865","0.464712564278093","0.480783096130001","0.552956195477469","0.583838922910759","0.620480114645762","0.666806360101162","0.702402755082035","4"
"13","ARAELA","0.942339625231072","0.879906873265859","0.885659561214117","0.919799032692369","0.947467697842849","0.966907933449105","1.00623283731187","1.01420728274196","4"
"14","AUCHIM",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"15","BERKUL","0.700135958097055","0.696426819573156","0.691175135759403","0.724632083009315","0.749958336789772","0.774386362383868","0.793043996323112","0.8135094984061","44"
"16","BERVIR",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"17","BETLUM","0.801542664146912","0.836346252511413","0.849002357158733","0.870568205127141","0.863767834558659","0.891100823552146","0.910345277259147","0.927760370476774","12"
"18","CALMEM","0.675241461712497","0.651684313859725","0.72042727649947","0.767579535704227","0.801536947993529","0.824578456416009","0.835247716030737","0.852394460297369","22"
"19","CAMCUS","0.76406120621638","0.796628620611067","0.809830945827197","0.81921759852621","0.826923665249652","0.83445429862781","0.841585874679124","0.848409473097225","14306"
"20","CARVIM","0.961810936218884","0.985276064356008","1.00348806212308","1.01327893662738","1.00311834061044","1.00439958198339","0.999821135732596","0.998358741512119","127"
"21","CASEYR","0.925417664448937","0.958701088040648","1.0193462261198","1.02315128158719","1.0489523122511","1.05181222496452","1.05623930428748","1.05769783674469","31"
"22","CELACU","0.841108353322023","0.801513469708045","0.807850328872485","0.815501908217007","0.82075969743752","0.833794676048801","0.84770544210947","0.866525897284287","76"
"23","CELSTY","0.843340433720615","0.820177799989048","0.807849787830023","0.791977533474452","0.79246873477655","0.800765208603938","0.811491535853399","0.814776362919524","43"
"24","CEPSIN",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"25","CERCAM","1.1093305505723","1.0126787238216","0.975960175460185","0.985202084564787","1.00026580528291","1.00726005043953","1.01249666570157","1.01390633662392","157"
"26","CERSCH","1.11503278352515","1.04004418707942","1.01197474680098","0.999456211871853","0.993614125038181","0.985939020929654","0.979808139425861","0.974781730213957","446"
"27","CERSER","0.797404149369782","0.822789798409659","0.878604304500964","0.884402893640307","0.872615253485717","0.82965889471488","0.838046004806937","0.854905809832333","11"
"28","CINJEN","0.792500030348946","0.865521530909158","0.897823503099959","0.933072744758459","0.94307753083911","0.958962119166091","0.963115610015817","0.95930489274782","14"
"29","CINSUB","1.25142857867852","1.14231245852936","1.10430730958467","1.06840081383709","1.04162810767692","1.02568537826559","1.0279000869507","1.03208275504435","13"
"30","CLEBAR","1.01358693827699","1.03347181965852","1.04695598599662","1.04556892112856","1.04596854292467","1.04756126348656","1.05047220564746","1.05127136295626","612"
"31","CLEPAC","1.13112363953999","1.08179926826281","1.06989261920802","1.06500317626888","1.06315804149654","1.06033063579458","1.05650015605557","1.05372536652826","5365"
"32","CORCON","0.939112792706857","0.93531955633513","0.962467132362711","0.972824276649624","0.981609081713626","0.999773529102583","0.994889783888186","0.997714633660246","31"
"33","CORGLA","0.848378052149609","0.809292502147604","0.800917028704372","0.788351695246183","0.791576082553614","0.799152681475544","0.804983042296443","0.814125473366075","215"
