"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","ACEAMP","0.664501304701228","0.639482029535877","0.758398349177703","0.770376376631502","0.826387723221924","0.884869065061328","0.940526715244691","0.980755047456322","0.008","0.002","0.004","0.002","0.008","0.016","0.196","0.67","-2.70759784936915","-4.13904673592871","-3.28401785746586","-3.79783916096717","-3.23065037080378","-2.3742944256971","-1.34369374834876","-0.45475820223869","13"
"2","ACEDAV","1.0050584293764","1.02241884215845","1.03522937519255","1.03181448660644","1.027442377006","1.03120970018934","1.02777296395053","1.02937387937009","0.832","0.398","0.116","0.096","0.1","0.036","0.05","0.022","0.213717239713054","0.842070696736913","1.63302772504223","1.69358581709284","1.62736408517555","2.09739927163099","2.05302421046213","2.41908151650582","105"
"3","ACEELE","0.932324700788132","0.948111676980622","0.97218191647722","0.977798843970709","0.986288241966433","0.994014664432326","0.997206180146053","0.998348842382403","0.002","0.002","0.01","0.012","0.076","0.416","0.678","0.782","-3.60857964845548","-3.90356052436179","-2.67019877391781","-2.51691187819431","-1.74274565393033","-0.831996330657443","-0.425307661466175","-0.270658139874166","490"
"4","ACEPUB","0.859685377175434","0.841844868222813","0.913235348483962","0.941485041128759","0.966971261865793","0.968825589959863","0.9831628059319","0.977173285349558","0.14","0.022","0.152","0.256","0.482","0.456","0.66","0.526","-1.45265614582935","-2.29774617539464","-1.49992709275636","-1.19029908005798","-0.780078424868507","-0.794834210456583","-0.44698231902757","-0.635377631602596","23"
"5","ACTARG","0.664061688245628","0.802632020556666","0.795232100106744","0.795500356630021","0.843533483666171","0.91304456771501","0.985221039425903","1.00693427745841","0.002","0.012","0.002","0.002","0.004","0.046","0.72","0.852","-3.46047376421926","-2.69091710187842","-3.34925998282455","-3.84237595127337","-3.33841812099518","-2.03590766640562","-0.343257857029379","0.220573547639734","20"
"6","ACTCHI","0.930580064524919","0.916667736500752","0.93181240975364","1.00606208159532","1.00067130149994","0.983462222269698","0.980421701680111","0.990746733118107","0.484","0.2","0.226","0.922","1","0.582","0.468","0.708","-0.75675760266905","-1.25784332094138","-1.30187968627038","0.14274471951811","0.00771479513865237","-0.542611646018341","-0.740860595399735","-0.377490647852822","17"
"7","ACTERI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"8","ACTHEM","0.91858862128687","0.998804645371035","0.994601670073837","0.993925871536619","0.998703216365176","0.997042090313368","0.992965168515761","0.99176524589563","0.006","0.938","0.746","0.678","0.946","0.796","0.462","0.348","-2.60883822904843","-0.0361681546484145","-0.300882336619032","-0.411084084887197","-0.0832873101608583","-0.247266115502612","-0.680271348760093","-0.875960821278315","133"
"9","ACTSP1","0.834839759779897","0.886104868060091","0.858166520453749","0.814321101922392","0.878426620309721","0.879818490777423","0.923953460626174","0.940423240689016","0.42","0.464","0.22","0.048","0.148","0.136","0.334","0.44","-0.89769756984346","-0.823586750358796","-1.29996914186195","-2.01081425033876","-1.44068717987638","-1.51600627763694","-1.01849008156144","-0.832403447859927","6"
"10","ADIGLI","1.05242492681099","1.03893099019479","1.0279927687428","1.0204815033892","1.01779195188557","1.01444492920913","1.01099316473467","1.00763524737847","0.002","0.002","0.002","0.002","0.002","0.002","0.004","0.02","5.78596246216875","5.83822231402339","5.22875661694738","4.50561375798634","4.2885292094013","3.77066404509484","3.06918368415112","2.26270459079517","1599"
