"","allsp","","","","","","","","","abund"
"1","AFROKA","0.951999148438426","0.956901392112649","0.95641844177108","0.960000390087265","0.961930469140595","0.962474583002568","0.965037256912855","0.965526033055702","1277"
"2","AFZEBI","0.918394139627002","1.02890900843583","0.98935359822413","1.00852032450695","0.986610657051976","0.97643304491076","0.9709961604602","0.962806336640531","8"
"3","ALBIGL","0.858258118147284","0.900258210631498","0.861540323760201","0.836993391678791","0.840876984722588","0.852930302114163","0.860938934616233","0.866876243057311","32"
"4","ALLO02","1.13676139699854","1.09159374713735","1.07505906240782","1.06327219522708","1.05631683834949","1.05354910573789","1.05257644620933","1.04409439639176","28"
"5","AMANST","0.91414918361948","0.93186906025389","0.941098818585325","0.952293427439527","0.957091932752724","0.962277536522291","0.965975771333355","0.969419634427935","1636"
"6","ANGY02","1.01510195267437","0.989122180211118","0.992768756378681","0.990264892247844","0.990830139636339","0.989765449343668","0.990980697534811","0.992092912251693","742"
"7","ANGY03","0.782329695412009","0.813816106162762","0.861512360679781","0.876470283361434","0.907080986753558","0.902490215903763","0.90198415697423","0.916155744838893","16"
"8","ANIS03","0.989161949309407","0.992009527521996","0.994289334305548","0.997331908989956","0.99766427750851","0.997124194034679","0.996770600931597","0.996662993233731","328"
"9","ANISGL","1.0335193199737","1.02289759682529","1.01448218190412","1.01884724574718","1.01737415163493","1.01446274658259","1.01211060939718","1.01144652524302","860"
"10","ANISPU","1.00128294815756","0.996388136003952","0.987772699678924","0.989765110169105","0.98952447229261","0.990382429521879","0.993191637127016","0.995345378519769","342"
"11","ANISSP","1.09263949750341","1.04329142513823","1.03006689141948","1.02904845614723","1.02465681736302","1.02219956323896","1.01888974085383","1.01646909537496","280"
"12","ANNICH",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"13","ANNO02","0.943976634451474","0.963453989481135","0.973149876664988","0.979983355685001","0.978038126345272","0.97617691047344","0.975585514917039","0.973543143548701","473"
"14","ANNO03",NA,NA,NA,NA,NA,NA,NA,NA,"4"
"15","ANOPKL",NA,NA,NA,NA,NA,NA,NA,NA,"5"
"16","ANTHAU","0.831390109023964","0.837697695506937","0.853985552930653","0.868184940205649","0.875575343017783","0.885670192469785","0.893890125231911","0.901256983074647","1059"
"17","ANTHCP","0.950520135560203","0.965912270130567","0.979792670834326","0.97650381394962","0.976641039786026","0.980768486998711","0.980693602475717","0.978558513770657","349"
"18","ANTHVO","0.83433594940723","0.777300001684408","0.788798386586271","0.802137953529361","0.803563331901092","0.802811998433133","0.802442080229821","0.808167131170646","158"
"19","ANTIVO","0.788817620624615","0.816352987998558","0.830023346798641","0.8510307019465","0.866281271101174","0.877759848469887","0.8898856620408","0.900145428412538","285"
"20","APOC02","0.97285125188239","0.978885940919621","0.975328594888018","0.98767317706217","0.981220602408479","0.98511103123666","0.992854912019507","0.99898431584645","40"
"21","ARDI02","1.06744369388042","1.03364238106805","0.950837231209059","0.937693724425686","0.929803624944044","0.925705294699645","0.919660343919701","0.911985075871366","41"
"22","ARGO02","1.00988595493327","0.967508226854413","0.977222850036125","0.969299538745057","0.975810121120224","0.983093924086023","0.979051059595833","0.981353825198014","58"
"23","AUCOKL","0.691129310680896","0.840761325077076","0.911101177367683","0.975399392510347","0.98074082113241","0.971832889178913","0.956602233379755","0.953291102167035","8"
"24","AULAGL","1.05055308622544","0.860633847899539","0.960048153004431","0.949285591684867","0.950054373665978","0.97488547140241","0.995195190084871","0.998612887434789","4"
"25","AULAJA","0.884459540053433","0.895267818665232","0.920285703175963","0.926000622915065","0.937981550195386","0.936639230621173","0.936054384788184","0.946676194897726","50"
"26","BAIK02","0.802571101400189","0.897654450176402","0.913146712390826","0.918205215138228","0.893873207855785","0.891564817118141","0.885448307731","0.882013781527109","55"
"27","BAILTO",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"28","BALAWI","1.09747469782371","0.982388572526224","0.948403291303726","0.978234172439041","0.971569614340573","0.990969382584399","1.00356132980887","1.00240732894567","9"
"29","BAPH02","1.0414280505429","1.03217901259694","1.02573951455052","1.02477827387196","1.02643539792569","1.02589323804633","1.02299441682021","1.02147999786174","1445"
"30","BAPHGF","0.876274822968155","0.890136330978086","0.908776264309685","0.919191777784486","0.925520036878484","0.927212128781102","0.933356902974248","0.938118724253388","245"
"31","BARTFI",NA,NA,NA,NA,NA,NA,NA,NA,"5"
"32","BEIL02","1.05959412550834","1.03343449662342","1.02508644165831","1.02113830748079","1.02062707463855","1.02141121431649","1.01990435526972","1.01981032680888","602"
"33","BEIL03","1.08515044714077","1.0401449152323","1.03636892717016","1.02566911070911","1.01399719807329","1.01408887088548","1.013129199953","1.01346008985309","230"
"34","BEIL04","0.799962624650659","0.788973838784064","0.91259976995606","0.925467084010747","0.947382818058128","0.949210557756055","0.952961559807702","0.987541785915204","5"
"35","BEILGF","1.01320154973656","1.00429009680137","1.00467482683755","1.00101612819761","1.00417846320494","1.00750012948332","1.0107340330469","1.01190072085219","266"
