"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","AFROKA","0.983932316814948","1.00995998282489","1.01202032061261","1.01566525747408","1.01277248636726","1.01364335389546","1.01526322145872","1.01597689637482","0.136","0.192","0.054","0.006","0.014","0.008","0.006","0.002","-1.45993506155421","1.35169775464019","1.92575285855051","2.8921705466506","2.63557803533202","3.0183523914709","3.63512427147427","4.08007568505988","1277"
"2","AFZEBI","0.998313528371676","1.08824662816372","1.06702665287557","1.11887822284145","1.0811231017471","1.07671236663853","1.09124642775168","1.06362317334834","1","0.34","0.364","0.064","0.15","0.112","0.018","0.086","0.0453895092692382","0.969439105811022","0.926805442745364","1.83766404754798","1.46410472256414","1.58436304460496","2.12236966160647","1.63805269884265","8"
"3","ALBIGL","0.856705583928849","0.891259267779109","0.913757406491447","0.900936020941529","0.91046606734388","0.919530125565292","0.912893089330421","0.904439239512373","0.06","0.038","0.076","0.024","0.03","0.05","0.022","0.008","-1.94238000604583","-1.95896991791248","-1.75681334384131","-2.18034294067548","-2.09328921550924","-1.98266042230459","-2.24999613443505","-2.60482317721933","32"
"4","ALLO02","1.02350025415031","1.03695109415892","0.977273430789184","0.96737523245217","0.979082534317594","1.00966900568052","1.00473629988301","0.995962006776032","0.792","0.506","0.648","0.454","0.608","0.818","0.934","0.864","0.306627946632434","0.677468911197815","-0.474918016588763","-0.757455084594387","-0.526025544531391","0.24693996754679","0.113559931941022","-0.140030107638155","28"
"5","AMANST","0.946240016543413","0.960854264901","0.968794447666986","0.979197571209207","0.986921838821583","0.992979172791647","0.996200119784373","0.998602437634162","0.002","0.002","0.002","0.002","0.002","0.1","0.324","0.718","-5.22123944399842","-5.73515225824298","-5.5836297279289","-4.22091823733505","-2.95103576454725","-1.71909681979247","-0.977969566792202","-0.357148245779986","1636"
"6","ANGY02","1.04164493716836","1.02665411223191","1.0378360722682","1.03715920697329","1.02989674628663","1.02546644459617","1.02431247295077","1.02259221201149","0.006","0.002","0.002","0.002","0.002","0.002","0.002","0.002","2.99789351476198","2.88031613661902","4.92308413645124","5.55777099310878","4.9291569882739","4.56341771282566","4.73022903607681","4.74601644541958","742"
"7","ANGY03","0.873795645494584","0.916573449434348","0.979742672644493","0.983997309834468","0.990334784550972","0.984669625194501","0.985335874689928","1.00239026784342","0.232","0.24","0.714","0.72","0.796","0.658","0.614","0.996","-1.23004655807963","-1.2381885730742","-0.380623442107574","-0.358297103257769","-0.259839063787752","-0.472579355006138","-0.519828343843187","0.0422418765436805","16"
"8","ANIS03","1.01798450425902","1.0303815436317","1.03536861312491","1.03163177489488","1.03430650757665","1.0300497450021","1.02653851666112","1.02273074538393","0.406","0.032","0.002","0.002","0.002","0.002","0.002","0.002","0.814471338004635","2.23401280768459","3.21339184719335","3.41214951834897","4.17609369660395","4.14579694172768","4.06291497698322","3.81966927156228","328"
"9","ANISGL","1.07952421030205","1.07712764058105","1.06347992639705","1.06254293064908","1.05372118815097","1.04241292120853","1.03663712915985","1.03378817266716","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","6.23830084502018","9.25337334197423","9.61560018891391","11.0038316717392","10.6625669900057","9.36953025990976","8.92020408225907","8.91340017497462","860"
"10","ANISPU","1.02279344852248","1.01635188090827","1.01284398190425","1.00991770621063","1.00289905410385","1.00299364034188","1.00376864585967","1.00210461359682","0.218","0.198","0.2","0.22","0.656","0.598","0.502","0.642","1.18600073309244","1.30945841832214","1.32274384383819","1.25956374775091","0.437627573077844","0.500962125498834","0.679652286574104","0.447679461173532","342"
"11","ANISSP","1.13929388679575","1.10223118635981","1.07861499916378","1.06666001115561","1.05866683816521","1.05534369207828","1.0475206577724","1.04148507452142","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","6.31680285396721","7.01718537663079","6.67237249627099","6.5873010343296","6.6539308029625","6.97675277351121","6.50748837916873","6.18296173101435","280"
"12","ANNICH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"13","ANNO02","0.951202767566488","0.962973785090846","0.960951381027038","0.968059692421745","0.965979465572934","0.964716240168163","0.966203864148287","0.96672217712612","0.004","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-2.81576594658708","-3.04747784959172","-3.84416830290261","-3.40981066081929","-3.95102787673961","-4.40911345433304","-4.42917456464246","-4.59299615523383","473"
"14","ANNO03","1.10377237261196","1.19976905927734","1.17967389059507","1.11704630273282","1.08857157771331","1.05671119018473","1.06717999436474","1.04042634975351","0.63","0.078","0.032","0.084","0.134","0.348","0.178","0.384","0.535062535889306","1.8293515271876","2.25966591278428","1.76117362723341","1.58709127849089","1.00396747175773","1.41193600802177","0.920738886231341","4"
"15","ANOPKL","1.1859028522826","1.08585057652198","1.12847801893218","1.14214417578497","1.12853287547367","1.13254214488729","1.09980541305502","1.05937855042816","0.348","0.424","0.16","0.056","0.032","0.01","0.024","0.124","1.04655372359724","0.872560864943096","1.44055056516367","1.92854910534097","2.16238351743238","2.72431432748716","2.39251124184172","1.54403609840277","5"
"16","ANTHAU","0.827085552667947","0.844576264115904","0.871331577687085","0.890827925848248","0.910775757740625","0.931519818816081","0.945655587247519","0.959056522017741","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-13.1687811281975","-16.5170964714491","-16.519149909711","-15.8561606475711","-14.0375388382398","-11.5965398978786","-10.0972549625543","-8.09499231768859","1059"
"17","ANTHCP","0.965397986069422","0.987932898095666","1.00322103223473","1.00119376725948","0.997259020229179","0.995647994583806","0.996301225426552","0.994804436391035","0.078","0.346","0.824","0.926","0.734","0.582","0.626","0.492","-1.69947762292505","-0.890067615593686","0.225239599774659","0.0974931086038282","-0.32702752418348","-0.535929175071436","-0.479484581565314","-0.703665688341613","349"
"18","ANTHVO","0.691042961326207","0.674160375904588","0.698532051376382","0.715953251503862","0.745474350719235","0.767064905132572","0.782437513764245","0.799273434292292","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-8.76516551068492","-12.1740241026256","-12.7603941391373","-12.9315448003953","-12.2889425827319","-11.8898824761628","-11.7559963801524","-11.6249833712201","158"
"19","ANTIVO","0.787697817322019","0.809465684740786","0.829515500790649","0.865891180055201","0.888626405816372","0.91994672028968","0.945965709601259","0.959841838958028","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-9.05642438189918","-11.0799054361912","-12.0227409906968","-10.5025739434422","-9.46502512193485","-7.54268548261537","-5.38079143024828","-4.32211614308537","285"
"20","APOC02","0.996167818906996","1.00241845305116","1.01127640965485","1.03054111595121","1.03128574640147","1.03126884289541","1.03684186842149","1.03058339509642","0.972","0.968","0.722","0.23","0.154","0.102","0.038","0.052","-0.0721952043094913","0.0648180783961649","0.367574036586736","1.22132981755895","1.43073105571671","1.59923034729478","2.07955839105329","1.8841404348565","40"
"21","ARDI02","0.996864609674127","0.990656011482597","0.970353444837038","1.00014189105802","1.02373035285447","1.04313114857917","1.04912232872291","1.05293124446208","0.97","0.824","0.402","0.97","0.354","0.066","0.026","0.006","-0.0609971341149017","-0.210358045929868","-0.822104169992852","0.0349719548756934","0.924958144653314","1.85242310903229","2.32669876420763","2.6925111636666","41"
"22","ARGO02","0.99429550304948","0.97449276485877","1.00393853731353","1.00370886387451","0.993225510878409","0.996731113230297","0.990806520438362","0.992481134813537","0.856","0.352","0.894","0.882","0.628","0.778","0.44","0.494","-0.182618417201304","-0.976588943358245","0.157025267137898","0.147604141858628","-0.473752586510859","-0.295315887574511","-0.787103226452957","-0.705475337061374","58"
"23","AUCOKL","0.763030344409858","0.76359510916277","0.897429011056706","0.984393745582181","0.997606095440183","1.01266737164046","1.00722630111555","1.0092567920492","0.06","0.012","0.25","0.9","1","0.794","0.866","0.816","-1.77477470265485","-2.61729801616952","-1.22494045293111","-0.173362874981308","-0.00908116690910411","0.287543877753147","0.221057735852203","0.284293042095082","8"
"24","AULAGL","1.10736963106637","0.976464073672699","0.900741102065948","0.959425779473538","0.98876823946844","1.00529048529172","1.02313879204454","1.04133242353901","0.622","0.802","0.316","0.644","0.836","0.982","0.85","0.542","0.549642225400296","-0.255366676631011","-1.03492323290639","-0.473574976981663","-0.15650457080618","0.077745505777199","0.347555904805336","0.676076639688807","4"
"25","AULAJA","0.889452750789115","0.927766804135551","0.970448782447747","0.984821952581286","1.01423981046572","1.02956265569176","1.0405612578238","1.03760928106766","0.052","0.074","0.322","0.544","0.528","0.132","0.03","0.022","-1.89737427135859","-1.86876455437465","-0.968685696804402","-0.594596175758967","0.628527921513984","1.4692564380796","2.23703989226871","2.27282834159158","50"
