"","allsp","","","","","","","","","abund"
"1","ABARJU","0.91347469241034","0.866147347825817","0.927476924704392","0.930652702195786","0.919090773190662","0.948257546945882","0.969278421185573","0.969990457021307","22"
"2","ABARLA","0.98619849752357","0.977477321937824","0.969753864971355","0.982665609906133","0.983931216269198","0.987320962058316","0.987984143449265","0.985500752080758","96"
"3","ABUTGR","0.948775708558227","0.980596053621424","0.983846097941942","0.984247141994174","0.98400915008366","0.98117851053051","0.979355431895519","0.981097082805742","255"
"4","ACALCU","0.910141041399542","0.919135912925777","0.93237705823409","0.932648644614385","0.941120410276484","0.942806637780462","0.944184943144557","0.945292761148229","502"
"5","ACALPU","1.19414125688561","1.00354698154646","1.04843437050635","1.01273314506977","1.02428844675039","1.04783159494651","1.08988748518437","1.08852008971627","3"
"6","ACALSD","0.872967450262627","0.766770206995755","0.793107440606155","0.832335755415595","0.871005257670617","0.891530919266737","0.90662352119569","0.920105472410301","73"
"7","ACALSH","1.068571243529","1.03559672450911","1.02261805305233","1.0326423974763","1.02378977853267","1.00362276850444","1.00357726711435","1.01108906862421","22"
"8","ACANAN","0.539679829041347","0.658053877442778","0.702182480299131","0.835556675322327","0.894494791486442","0.896017178809405","0.922129207515624","0.915664591398839","7"
"9","ACIDNI","1.01215150294575","1.02169494915253","1.02366204758746","1.02481008853111","1.0225234753613","1.02129217291706","1.02029895340087","1.02117602878834","1348"
"10","AEGIEL","0.655910138713463","0.913835752836171","0.990024032647082","1.03699596998232","1.0480963994925","1.05835592253601","1.04257893250841","1.02979278251681","8"
"11","AEGIHA","0.964284103844071","0.969622751255941","0.932696528713788","0.940754680596116","0.948118073315038","0.955166233688212","0.95685807758062","0.959659478533989","95"
"12","AEGIIN","0.944676667413998","0.931731266201556","0.939513404338562","0.895558604070698","0.873358739370181","0.876303236452103","0.890304733790206","0.906734271719885","9"
"13","AEGIME","0.922736907255415","0.916680785850194","0.928806429578804","0.914601619392575","0.886878560520906","0.897189675166295","0.903582856316437","0.91863064894377","18"
"14","AEGIVI","0.927204551383155","0.935856294289768","0.937971892741064","0.925808875260019","0.927818523008813","0.935782466655638","0.942325717871083","0.948028438071868","68"
"15","AGONPE","1.04041868264841","1.00980798526751","1.04069100560431","1.06572061200677","1.06707266384691","1.0659475841012","1.05445315395846","1.0441223167684","31"
"16","AGONSI","0.828074509144299","0.983048802253993","1.000888869832","1.02613898209706","1.03931578321689","1.02852404150035","1.04962001559624","1.04967278520593","22"
"17","AGOUCU","0.990348947853366","1.00996740924142","1.0116098891938","1.01153057635048","1.00887056592162","1.01480871395959","1.02001988798183","1.015844768029","46"
"18","AGOUIS","0.989229637656001","0.994181307464364","0.976701608932556","0.993429165997269","0.998372568242143","0.997629814393484","1.00218346356338","0.994991802323717","94"
"19","AGOUVE","1.13781566842686","1.06621530278682","1.114221975253","1.08776336598135","1.07050381959068","1.07293095098646","1.06362824025009","1.06595703282728","20"
"20","AIOUGR","1.04272614392761","0.717103363332905","0.791815311586369","0.790472483695247","0.817529076434348","0.851277833909753","0.878155067739275","0.89810456166719","4"
"21","AIOUPE","1.31257283774412","1.0879125081328","0.992629465494202","1.02298582251237","1.05555252449797","1.08166457989747","1.05283437152031","1.06873824235863","3"
"22","AIOUPS","1.04067719277743","1.0419760978015","1.01749580949773","1.03178627810355","1.0127694477219","1.03340053941411","1.03337740271209","1.02818966357823","11"
"23","AIPHUL","0.85090516641607","0.909547781523116","0.939872815387076","0.944061183053312","0.950363391594625","0.954214898675271","0.96005949601211","0.96450318172333","352"
"24","ALBINI","1.04339025746922","1.12811696622749","1.11100608320716","1.08803684021408","1.06414525229034","1.05828398320863","1.0336707834495","1.02460646966598","24"
"25","ALC1CO",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"26","ALC1GL",NA,NA,NA,NA,NA,NA,NA,NA,"2"
"27","ALC1TR","1.20413961826564","1.18076699549547","1.17082944326144","1.15617200711221","1.14068583100458","1.12949936037536","1.1196720299287","1.10658843799495","200"
"28","ALC2FL","0.979920717623334","1.00777568656578","1.02052871995597","1.0202085973665","1.02487336676334","1.01952344133816","1.02008752979283","1.02016424180822","70"
"29","ALIBIT","0.913863651359449","0.991604376706576","0.996035408299772","0.988806587509799","1.01443014504786","1.01522557102462","1.02564635241781","1.02577059880474","37"
"30","ALIBJO","0.855673151021542","0.958792605212172","0.959881632579652","0.970122965340805","0.984738842703315","0.987173233532924","0.991563828673338","0.978118965099214","24"
"31","ALIBLA","1.01882079821543","1.00476005774722","1.01333490546788","0.996765431016649","0.987317558592379","0.986856950082134","0.988150052203902","0.994224191809652","53"
"32","ALIBPE","0.882435397829978","0.908789282516014","0.887060377921686","0.885862356774789","0.876326773620641","0.901940817538921","0.90705118989077","0.914450118346236","14"
"33","ALIBPI","1.01968177170856","1.05926780974411","1.01086435651705","0.993953129199424","0.989627996577459","0.99062632996583","0.982348909408578","0.972508237556237","26"
"34","ALLOAM","0.916940126743561","0.897521124657129","0.886632727953423","0.911948105736985","0.926384467471397","0.93870075155809","0.937661741546647","0.961540258958947","29"
"35","ALLOGL","0.986505308889669","0.929244269546064","0.932094495209993","0.942412999201078","0.943071800811791","0.948154336302208","0.955839360404255","0.956713717772356","180"
"36","ALLOPI","0.941851779963797","0.943131814220487","0.945684790153187","0.945409046557196","0.93858564106432","0.949031751751109","0.952317677387224","0.949133076766103","82"
"37","ALLOSC","1.03181587311181","1.04094100636745","1.01169692800269","1.01553471572389","1.01184600171534","1.01257488319171","1.00415831240183","0.998531511566578","35"
