"","allsp","","","","","","","","","abund"
"1","acacme","0.383430341774769","0.524362286580677","0.728270169597089","0.922854806368786","0.997566514721787","1.04337096713648","1.06654846187599","1.07156752238352","48"
"2","acaldi","0.925748831797401","0.991443484488353","1.0292122933886","1.04843459906506","1.05509406882147","1.05188549481763","1.04805157443032","1.04281579717388","994"
"3","acalma","0.731378634058417","0.836201509037111","0.897967953249715","0.949376676592841","0.976922015368016","0.99769342156503","0.99940537721043","1.02315782586412","48"
"4","ade1tr","1.0752653652707","1.10495697129391","1.11861409304702","1.11127612058244","1.10627127332528","1.09637926029061","1.08454482929884","1.06266291926153","142"
"5","aegipa","1.07091710066246","1.05529243941163","1.09188572160473","1.054317515997","1.02688923002317","1.0167287707748","1.01143559137905","1.01959189719538","38"
"6","alchco","1.22875760297882","1.21326665776186","1.22008071968436","1.19628489951087","1.17839290894822","1.15129134757296","1.12891431366197","1.10973209620606","314"
"7","alchla",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"8","alibed","1.03336907201136","1.02958104386282","1.02813084529064","1.02016967990019","1.01817684945061","1.01261415708381","1.01036332817136","1.00804422135199","406"
"9","allops","1.18546445120692","1.1374377007565","1.09826725732711","1.08828119267678","1.07607580071922","1.06395515558848","1.05304968999957","1.03860670445604","107"
"10","alsebl","1.02378084385682","1.02509190726651","1.02488906192652","1.02550486301575","1.02397490069862","1.02214265545524","1.02088714760217","1.01918818182066","7844"
"11","amaico","1.06663613025895","0.944099156000201","0.970428842258373","0.985589890988739","1.05662143574677","1.08715257111326","1.06478968009751","1.06137865023609","19"
"12","anacex","1.4744747170884","1.48905214435084","1.44078640644918","1.39423806752319","1.34806851822778","1.30775223878919","1.27342760523426","1.18045201911576","26"
"13","anaxpa","0.76717482753428","0.744702718269165","0.7796783880583","0.826582395957951","0.864835017588096","0.89364523113295","0.918946901668935","0.937639514822478","862"
"14","andiin","0.847767641792901","0.930193732737869","0.963298549434525","0.965382236405096","0.974457690011914","0.979091421035118","0.98972140980462","0.992120046414677","248"
"15","annoac","0.993981482816375","1.01773744839491","1.02080611101714","1.01764984609229","1.01282003034498","1.00916212504045","1.00684857860015","1.00179214621797","474"
"16","annosp","1.29477856685622","1.25428802786198","1.20860292277365","1.18666699209945","1.16084661713749","1.13462596976968","1.1163948294073","1.1009109387038","148"
"17","apeime","1.16501481835872","1.19644909783722","1.20263780373226","1.18515446988704","1.15222766847956","1.12127488716221","1.09903468803251","1.08422815754852","305"
"18","apeiti","1.09788293207233","1.2042106102665","1.19009970123616","1.18165243272258","1.17585565193935","1.15745848851436","1.15598274279373","1.12224517694135","50"
